titulo musica,letra musica
Metamorfose Ambulante,"Prefiro ser,Essa metamorfose ambulante,Eu prefiro ser,Essa metamorfose ambulante,Do que ter aquela velha opinião,Formada sobre tudo,Do que ter aquela velha opinião,Formada sobre tudo,Eu quero dizer,Agora o oposto do que eu disse antes,Eu prefiro ser,Essa metamorfose ambulante,Do que ter aquela velha opinião,Formada sobre tudo,Do que ter aquela velha opinião,Formada sobre tudo,Sobre o que é o amor,Sobre o que eu nem sei quem sou,Se hoje eu sou estrela,Amanhã já se apagou,Se hoje eu te odeio,Amanhã lhe tenho amor,Lhe tenho amor,Lhe tenho horror,Lhe faço amor,Eu sou um ator,É chato chegar,A um objetivo num instante,Eu quero viver,Nessa metamorfose ambulante,Do que ter aquela velha opinião,Formada sobre tudo,Do que ter aquela velha opinião,Formada sobre tudo,Sobre o que é o amor,Sobre o que eu nem sei quem sou,Se hoje eu sou estrela,Amanhã já se apagou,Se hoje eu te odeio,Amanhã lhe tenho amor,Lhe tenho amor,Lhe tenho horror,Lhe faço amor,Eu sou um ator,Eu vou desdizer,Aquilo tudo que eu lhe disse antes,Eu prefiro ser,Essa metamorfose ambulante,Do que ter aquela velha opinião,Formada sobre tudo,Do que ter aquela velha opinião,Formada sobre tudo"
Canto Para a Minha Morte,"Eu sei que determinada rua que eu já passei,Não tornará a ouvir o som dos meus passos,Tem uma revista que eu guardo há muitos anos,E que nunca mais eu vou abrir,Cada vez que eu me despeço de uma pessoa,Pode ser que essa pessoa esteja me vendo pela última vez,A morte, surda, caminha ao meu lado,E eu não sei em que esquina ela vai me beijar,Com que rosto ela virá?,Será que ela vai deixar eu acabar o que eu tenho que fazer?,Ou será que ela vai me pegar no meio do copo de uísque?,Na música que eu deixei para compor amanhã?,Será que ela vai esperar eu apagar o cigarro no cinzeiro?,Virá antes de eu encontrar a mulher, a mulher que me foi destinada,E que está em algum lugar me esperando,Embora eu ainda não o conheça?,Vou te encontrar vestida de cetim,Pois em qualquer lugar esperas só por mim,E no teu beijo provar o gosto estranho,Que eu quero e não desejo, mas tenho que encontrar,Vem, mas demore a chegar,Eu te detesto e amo morte, morte, morte,Que talvez seja o segredo desta vida,Morte, morte, morte que talvez seja o segredo desta vida,Qual será a forma da minha morte?,Uma das tantas coisas que eu não escolhi na vida,Existem tantas... Um acidente de carro,O coração que se recusa a bater no próximo minuto,A anestesia mal aplicada,A vida mal vivida, a ferida mal curada, a dor já envelhecida,O câncer já espalhado e ainda escondido, ou até, quem sabe,Um escorregão idiota, num dia de Sol, a cabeça no meio-fio,Oh morte, tu que és tão forte,Que matas o gato, o rato e o homem,Vista-se com a tua mais bela roupa quando vieres me buscar,Que meu corpo seja cremado e que minhas cinzas alimentem a erva,E que a erva alimente outro homem como eu,Porque eu continuarei neste homem,Nos meus filhos, na palavra rude,Que eu disse para alguém que não gostava,E até no uísque que eu não terminei de beber aquela noite,Vou te encontrar vestida de cetim,Pois em qualquer lugar esperas só por mim,E no teu beijo provar o gosto estranho que eu quero e não desejo, mas tenho que encontrar,Vem, mas demore a chegar,Eu te detesto e amo morte, morte, morte,Que talvez seja o segredo desta vida,Morte, morte, morte que talvez seja o segredo desta vida"
